Año,Edad,Peso
1992,27.0,72.99435028248588
1992,28.0,73.60468319559229
1992,29.0,74.28815080789946
1992,30.0,74.27896995708154
1992,31.0,75.82748538011695
1992,32.0,74.20370370370371
1992,33.0,77.61904761904762
1992,34.0,74.93827160493827
1992,35.0,74.4126213592233
1992,36.0,76.61046511627907
1992,37.0,73.28301886792453
1992,38.0,74.05405405405405
1992,39.0,72.68571428571428
1992,40.0,70.34375
1992,41.0,70.62068965517241
1992,42.0,69.25
1992,43.0,77.0
1992,44.0,66.8
1992,45.0,73.06666666666666
1992,46.0,74.33333333333333
1992,47.0,64.66666666666667
1992,48.0,76.2
1992,49.0,69.5
1992,50.0,62.4
1992,52.0,76.0
1992,53.0,59.0
1992,54.0,91.0
1992,55.0,82.0
1992,56.0,76.6
1992,57.0,65.0
1992,58.0,83.0
1992,62.0,84.0
1994,13.0,53.0
1994,14.0,52.0
1994,15.0,61.333333333333336
1994,16.0,58.75609756097561
1994,17.0,60.14705882352941
1994,18.0,64.37362637362638
1994,19.0,65.51680672268908
1994,20.0,70.36942675159236
1994,21.0,68.77022058823529
1994,22.0,71.29692832764505
1994,23.0,73.02901023890784
1994,24.0,70.38927335640139
1994,25.0,69.64383561643835
1994,26.0,74.97735849056603
1994,27.0,70.995
1994,28.0,73.33333333333333
1994,29.0,72.7172131147541
1994,30.0,74.23873873873873
1994,31.0,75.55113636363636
1994,32.0,72.03921568627452
1994,33.0,72.76086956521739
1994,34.0,70.36363636363636
1994,35.0,84.05882352941177
1994,36.0,73.1
1994,37.0,88.0
1994,38.0,72.4
1994,40.0,86.0
1994,43.0,66.0
1994,46.0,72.0
1996,12.0,65.0
1996,13.0,59.8
1996,14.0,43.16326530612245
1996,15.0,45.73015873015873
1996,16.0,50.46134020618557
1996,17.0,59.44642857142857
1996,18.0,61.70942408376963
1996,19.0,67.82708333333333
1996,20.0,69.11695447409733
1996,21.0,70.4282325029656
1996,22.0,72.43462343096235
1996,23.0,72.19825072886297
1996,24.0,72.75174825174825
1996,25.0,72.92144495412845
1996,26.0,73.5950323974082
1996,27.0,72.62709098327214
1996,28.0,73.96206373292868
1996,29.0,73.5237659963437
1996,30.0,73.71364653243847
1996,31.0,72.53698630136986
1996,32.0,73.03
1996,33.0,73.30188679245283
1996,34.0,77.13186813186813
1996,35.0,72.82962962962964
1996,36.0,71.55681818181819
1996,37.0,73.83571428571429
1996,38.0,74.78846153846153
1996,39.0,77.13953488372093
1996,40.0,80.27027027027027
1996,41.0,72.92307692307692
1996,42.0,80.36363636363636
1996,43.0,72.17647058823529
1996,44.0,81.11764705882354
1996,45.0,74.29411764705883
1996,46.0,80.45454545454545
1996,47.0,72.5
1996,48.0,73.78571428571429
1996,49.0,71.0
1996,50.0,70.22222222222223
1996,51.0,60.25
